order,id,date,time,url,visitCount,typedCount,transition
165,2777,8/6/2023,0:41:52,http://shop179777.horoshop.ua/edit/edit.php?back=%2Fedit%2Fdata.php%3Fhandler%3D461&id=522&action=edit&handler=462&checkcode=yamete_kudasai,1,0,form_submit
166,2640,8/6/2023,0:40:41,https://www.instagram.com/p/CrBcZqEtp94/,6,0,link
167,2546,8/6/2023,0:40:40,https://www.instagram.com/zakhoplyve_dozvillia/,55,0,link
168,2647,8/6/2023,0:40:37,https://www.instagram.com/p/CrBcEkBNVvw/,7,0,link
169,2546,8/6/2023,0:40:37,https://www.instagram.com/zakhoplyve_dozvillia/,55,0,link
170,2640,8/6/2023,0:40:05,https://www.instagram.com/p/CrBcZqEtp94/,6,0,link
171,2776,8/6/2023,0:40:00,http://shop179777.horoshop.ua/edit/edit.php?back=%2Fedit%2Fdata.php%3Fhandler%3D461&parent=1089&id=addnew&handler=462&checkcode=yamete_kudasai,1,0,link
172,2775,8/6/2023,0:39:50,http://shop179777.horoshop.ua/edit/data.php?parent=1090&handler=460&showPages,1,0,link
173,2649,8/6/2023,0:39:47,http://shop179777.horoshop.ua/edit/edit.php?id=1089&parent=1084&handler=4&checkcode=yamete_kudasai&showPages,3,0,form_submit
174,2649,8/6/2023,0:39:40,http://shop179777.horoshop.ua/edit/edit.php?id=1089&parent=1084&handler=4&checkcode=yamete_kudasai&showPages,3,0,link
175,2774,8/6/2023,0:39:32,http://shop179777.horoshop.ua/edit/forms/handlers.php?edit=462,1,0,form_submit
176,2526,8/6/2023,0:39:22,http://shop179777.horoshop.ua/edit/data.php?handler=1,12,0,link
177,2546,8/6/2023,0:39:05,https://www.instagram.com/zakhoplyve_dozvillia/,55,0,link
178,2647,8/6/2023,0:39:03,https://www.instagram.com/p/CrBcEkBNVvw/,7,0,link
179,2546,8/6/2023,0:39:02,https://www.instagram.com/zakhoplyve_dozvillia/,55,0,link
180,2640,8/6/2023,0:37:46,https://www.instagram.com/p/CrBcZqEtp94/,6,0,link
181,2546,8/6/2023,0:37:41,https://www.instagram.com/zakhoplyve_dozvillia/,55,0,link
182,2770,8/6/2023,0:36:53,http://shop179777.horoshop.ua/pazly/,4,0,reload
183,2769,8/6/2023,0:36:50,http://shop179777.horoshop.ua/edit/data.php?handler=461,3,0,form_submit
